player,team,name,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value,position_encoded,winger
/david-de-gea/profil/spieler/59377,Manchester United,David de Gea,Goalkeeper,189,32,104,0,0,0.009584665,0,0,1.217252396,0.335463259,9390,42,5,13,15000000,70000000,1,0
/jack-butland/profil/spieler/128899,Manchester United,Jack Butland,Goalkeeper,196,30,15,0,0,0.069018405,0,0,1.242331288,0.207055215,1304,510,58,1,1500000,22000000,1,0
/tom-heaton/profil/spieler/34130,Manchester United,Tom Heaton,Goalkeeper,188,37,4,0,0,0,0,0,0.616438356,0.924657534,292,697,84,4,600000,6000000,1,0
/lisandro-martinez/profil/spieler/480762,Manchester United,Lisandro Martínez,Defender Centre-Back,175,25,82,0.028089888,0.056179775,0.224719101,0,0,0,0,6408,175,22,9,50000000,50000000,2,0
/raphael-varane/profil/spieler/164770,Manchester United,Raphaël Varane,Defender Centre-Back,191,30,63,0.017889088,0.017889088,0.053667263,0,0,0,0,5031,238,51,21,40000000,80000000,2,0
/harry-maguire/profil/spieler/177907,Manchester United,Harry Maguire,Defender Centre-Back,194,30,68,0.037799244,0,0.302393952,0.018899622,0,0,0,4762,148,27,1,25000000,70000000,2,0
/victor-lindelof/profil/spieler/184573,Manchester United,Victor Lindelöf,Defender Centre-Back,187,28,70,0,0.032900749,0.115152623,0,0,0,0,5471,95,19,10,15000000,35000000,2,0
/phil-jones/profil/spieler/117996,Manchester United,Phil Jones,Defender Centre-Back,185,31,8,0,0,0.216346154,0,0,0,0,416,932,169,7,2000000,20000000,2,0
/teden-mengi/profil/spieler/548470,Manchester United,Teden Mengi,Defender Centre-Back,186,21,34,0,0,0.130529369,0,0,0,0,2758,47,13,0,2000000,2000000,2,0
/luke-shaw/profil/spieler/183288,Manchester United,Luke Shaw,Defender Left-Back,178,27,74,0.015374103,0.169115135,0.353604373,0,0,0,0,5854,443,70,4,35000000,42000000,2,1
/tyrell-malacia/profil/spieler/339340,Manchester United,Tyrell Malacia,Defender Left-Back,169,23,89,0.012619181,0.063095906,0.227145261,0,0,0,0,7132,182,15,3,22000000,22000000,2,1
/brandon-williams/profil/spieler/507700,Manchester United,Brandon Williams,Defender Left-Back,180,22,34,0,0.033507074,0.335070737,0,0,0,0,2686,175,28,1,10000000,12000000,2,1
/diogo-dalot/profil/spieler/357147,Manchester United,Diogo Dalot,Defender Right-Back,183,24,72,0.032292788,0.048439182,0.226049516,0,0,0,0,5574,328,49,3,35000000,35000000,2,1
/aaron-wan-bissaka/profil/spieler/477758,Manchester United,Aaron Wan-Bissaka,Defender Right-Back,183,25,60,0,0.018816642,0.094083211,0,0.018816642,0,0,4783,126,20,1,22000000,40000000,2,1
/casemiro/profil/spieler/16306,Manchester United,Casemiro,midfield-DefensiveMidfield,185,31,101,0.090817356,0.124873865,0.329212916,0,0.022704339,0,0,7928,174,31,23,50000000,80000000,3,0
/scott-mctominay/profil/spieler/315969,Manchester United,Scott McTominay,midfield-DefensiveMidfield,191,26,76,0.096010241,0.038404096,0.384040964,0,0,0,0,4687,249,53,2,25000000,35000000,3,0
/christian-eriksen/profil/spieler/69633,Manchester United,Christian Eriksen,midfield-CentralMidfield,182,31,55,0.067214339,0.313666916,0.089619119,0,0,0,0,4017,0,0,10,25000000,100000000,3,0
/marcel-sabitzer/profil/spieler/106987,Manchester United,Marcel Sabitzer,midfield-CentralMidfield,177,29,74,0.144046095,0.086427657,0.230473752,0,0,0,0,3124,280,35,8,20000000,42000000,3,0
/fred/profil/spieler/191614,Manchester United,Fred,midfield-CentralMidfield,169,30,92,0.184842884,0.22181146,0.33271719,0,0,0,0,4869,45,10,11,20000000,50000000,3,0
/donny-van-de-beek/profil/spieler/288255,Manchester United,Donny van de Beek,midfield-CentralMidfield,184,26,31,0.155574762,0,0.155574762,0,0,0,0,1157,378,65,6,17000000,55000000,3,0
/zidane-iqbal/profil/spieler/686845,Manchester United,Zidane Iqbal,midfield-CentralMidfield,181,20,39,0.129124821,0.06456241,0.225968436,0,0,0,0,2788,0,0,1,800000,800000,3,0
/kobbie-mainoo/profil/spieler/820374,Manchester United,Kobbie Mainoo,midfield-CentralMidfield,175,18,51,0.153758542,0.102505695,0,0,0,0,0,3512,0,0,1,800000,800000,3,0
/bruno-fernandes/profil/spieler/240306,Manchester United,Bruno Fernandes,midfield-AttackingMidfield,179,28,105,0.23933518,0.289196676,0.219390582,0,0,0,0,9025,14,2,11,75000000,90000000,3,0
/marcus-rashford/profil/spieler/258923,Manchester United,Marcus Rashford,Attack-LeftWinger,185,25,88,0.528789659,0.196407588,0.07554138,0,0,0,0,5957,319,35,9,80000000,85000000,4,1
/jadon-sancho/profil/spieler/401173,Manchester United,Jadon Sancho,Attack-LeftWinger,180,23,79,0.21978022,0.10989011,0,0,0,0,0,4914,173,32,5,55000000,130000000,4,1
/anthony-elanga/profil/spieler/583189,Manchester United,Anthony Elanga,Attack-LeftWinger,178,21,63,0.236220472,0.206692913,0.029527559,0,0.029527559,0,0,3048,0,0,1,25000000,25000000,4,1
/alejandro-garnacho/profil/spieler/811779,Manchester United,Alejandro Garnacho,Attack-LeftWinger,180,18,72,0.525730181,0.300417246,0.225312935,0.025034771,0,0,0,3595,50,11,2,25000000,25000000,4,1
/antony/profil/spieler/602105,Manchester United,Antony,Attack-RightWinger,172,23,80,0.335252286,0.228581104,0.182864883,0.01523874,0,0,0,5906,196,22,5,70000000,75000000,4,1
/facundo-pellistri/profil/spieler/676318,Manchester United,Facundo Pellistri,Attack-RightWinger,174,21,34,0,0.087378641,0.262135922,0,0,0,0,1030,90,15,1,3000000,7000000,4,1
/mason-greenwood/profil/spieler/532826,Manchester United,Mason Greenwood,Attack-RightWinger,181,21,24,0.317647059,0.105882353,0.105882353,0,0,0,0,1700,135,12,0,0,50000000,4,1
/anthony-martial/profil/spieler/182877,Manchester United,Anthony Martial,Attack Centre-Forward,181,27,52,0.399032648,0.145102781,0.036275695,0,0,0,0,2481,408,70,6,15000000,65000000,4,0
/wout-weghorst/profil/spieler/228645,Manchester United,Wout Weghorst,Attack Centre-Forward,197,30,93,0.270635995,0.148849797,0.148849797,0,0,0,0,6651,46,7,4,14000000,30000000,4,0
/alphonse-areola/profil/spieler/120629,West Ham United,Alphonse Areola,Goalkeeper,195,30,41,0,0,0,0,0,0.898502496,0.449251248,3606,34,4,16,8000000,17500000,1,0
/lukasz-fabianski/profil/spieler/29692,West Ham United,Lukasz Fabianski,Goalkeeper,190,38,75,0,0,0.040767024,0,0,1.331722784,0.27178016,6623,554,99,4,1000000,9000000,1,0
/nayef-aguerd/profil/spieler/361914,West Ham United,Nayef Aguerd,Defender Centre-Back,190,27,70,0.086970527,0.043485263,0.144950878,0,0.014495088,0,0,6209,286,49,4,32000000,32000000,2,0
/kurt-zouma/profil/spieler/157509,West Ham United,Kurt Zouma,Defender Centre-Back,190,28,65,0.050055617,0.016685206,0.033370412,0,0,0,0,5394,624,68,9,28000000,35000000,2,0
/thilo-kehrer/profil/spieler/228948,West Ham United,Thilo Kehrer,Defender Centre-Back,186,26,72,0.037098104,0.037098104,0.166941467,0,0,0,0,4852,317,49,12,18000000,35000000,2,0
/angelo-ogbonna/profil/spieler/48002,West Ham United,Angelo Ogbonna,Defender Centre-Back,191,35,42,0.027059531,0,0.108238124,0,0,0,0,3326,664,87,5,1000000,13000000,2,0
/emerson/profil/spieler/181778,West Ham United,Emerson,Defender Left-Back,176,28,71,0.051516886,0.068689181,0.120206068,0,0.017172295,0,0,5241,289,37,7,12000000,30000000,2,1
/aaron-cresswell/profil/spieler/92571,West Ham United,Aaron Cresswell,Defender Left-Back,170,33,80,0.028033017,0.140165083,0.112132067,0,0.028033017,0,0,6421,226,31,1,2500000,12000000,2,1
/ben-johnson/profil/spieler/468002,West Ham United,Ben Johnson,Defender Right-Back,184,23,64,0.019543974,0.019543974,0.058631922,0,0,0,0,4605,7,1,1,12000000,12000000,2,1
/vladimir-coufal/profil/spieler/157672,West Ham United,Vladimir Coufal,Defender Right-Back,179,30,72,0,0.094076655,0.156794425,0.015679443,0,0,0,5740,122,25,5,9000000,12000000,2,1
/declan-rice/profil/spieler/357662,West Ham United,Declan Rice,midfield-DefensiveMidfield,188,24,100,0.105017503,0.084014002,0.168028005,0,0,0,0,8570,13,1,1,80000000,80000000,3,0
/tomas-soucek/profil/spieler/283628,West Ham United,Tomas Soucek,midfield-DefensiveMidfield,192,28,101,0.100621118,0.07826087,0.100621118,0,0,0,0,8050,9,1,9,35000000,45000000,3,0
/flynn-downes/profil/spieler/506189,West Ham United,Flynn Downes,midfield-CentralMidfield,178,24,74,0.019876325,0.03975265,0.337897527,0.019876325,0,0,0,4528,0,0,1,8000000,8000000,3,0
/lucas-paqueta/profil/spieler/444523,West Ham United,Lucas Paquetá,midfield-AttackingMidfield,180,25,87,0.224964849,0.196844243,0.168723637,0,0,0,0,6401,21,4,2,45000000,45000000,3,0
/pablo-fornals/profil/spieler/357885,West Ham United,Pablo Fornals,midfield-AttackingMidfield,178,27,104,0.193005609,0.133619268,0.074232926,0,0,0,0,6062,18,3,2,25000000,30000000,3,0
/manuel-lanzini/profil/spieler/135853,West Ham United,Manuel Lanzini,midfield-AttackingMidfield,167,30,69,0.220102715,0.110051357,0.176082172,0,0,0,0,4089,555,72,3,8000000,20000000,3,0
/said-benrahma/profil/spieler/290532,West Ham United,Saïd Benrahma,Attack-LeftWinger,172,27,100,0.350076104,0.167427702,0.0304414,0,0,0,0,5913,14,2,1,22000000,25000000,4,1
/maxwel-cornet/profil/spieler/234781,West Ham United,Maxwel Cornet,Attack-LeftWinger,179,26,51,0.310463779,0.241471828,0.103487926,0.034495975,0,0,0,2609,71,23,1,15000000,18000000,4,1
/jarrod-bowen/profil/spieler/314875,West Ham United,Jarrod Bowen,Attack-RightWinger,182,26,105,0.334733053,0.23755249,0.118776245,0,0,0,0,8335,2,0,1,38000000,42000000,4,1
/gianluca-scamacca/profil/spieler/315867,West Ham United,Gianluca Scamacca,Attack Centre-Forward,195,24,65,0.591618735,0.024650781,0.271158587,0,0,0,0,3651,217,38,5,27000000,30000000,4,0
/danny-ings/profil/spieler/134294,West Ham United,Danny Ings,Attack Centre-Forward,177,30,74,0.38961039,0.229182582,0.183346066,0,0,0,0,3927,721,116,2,16000000,22000000,4,0
/michail-antonio/profil/spieler/104124,West Ham United,Michail Antonio,Attack Centre-Forward,180,33,95,0.36021346,0.213459828,0.146753632,0.013341239,0,0,0,6746,578,65,3,9000000,18000000,4,0
/danny-ward/profil/spieler/203026,Leicester City,Danny Ward,Goalkeeper,191,29,33,0,0,0,0,0,1.696969697,0.242424242,2970,127,29,2,8000000,10000000,1,0
/daniel-iversen/profil/spieler/260841,Leicester City,Daniel Iversen,Goalkeeper,191,25,65,0,0,0.015340037,0,0,1.257883075,0.291460712,5867,0,0,0,2000000,2000000,1,0
/alex-smithies/profil/spieler/33754,Leicester City,Alex Smithies,Goalkeeper,189,33,31,0,0,0.064516129,0,0,1.483870968,0.161290323,2790,89,14,0,600000,3500000,1,0
/wout-faes/profil/spieler/292808,Leicester City,Wout Faes,Defender Centre-Back,187,25,78,0.064249001,0.0256996,0.102798401,0.0128498,0,0,0,7004,14,2,2,20000000,20000000,2,0
/caglar-soyuncu/profil/spieler/320141,Leicester City,Caglar Söyüncü,Defender Centre-Back,185,27,50,0.041850732,0,0.16740293,0,0,0,0,4301,299,54,2,15000000,45000000,2,0
/harry-souttar/profil/spieler/298091,Leicester City,Harry Souttar,Defender Centre-Back,198,24,40,0.026362039,0.052724077,0.237258348,0,0,0,0,3414,339,48,0,15000000,15000000,2,0
/daniel-amartey/profil/spieler/214056,Leicester City,Daniel Amartey,Defender Centre-Back,186,28,64,0.017612524,0,0.088062622,0,0,0,0,5110,760,95,6,15000000,15000000,2,0
/jannik-vestergaard/profil/spieler/99331,Leicester City,Jannik Vestergaard,Defender Centre-Back,199,30,25,0,0,0.245733788,0,0,0,0,1465,241,35,0,5000000,20000000,2,0
/jonny-evans/profil/spieler/42412,Leicester City,Jonny Evans,Defender Centre-Back,188,35,41,0.055401662,0.027700831,0.110803324,0,0,0,0,3249,438,67,12,3000000,15000000,2,0
/victor-kristiansen/profil/spieler/564529,Leicester City,Victor Kristiansen,Defender Left-Back,181,20,71,0.016568483,0.099410898,0.231958763,0,0,0,0,5432,90,10,1,12000000,12000000,2,1
/luke-thomas/profil/spieler/505194,Leicester City,Luke Thomas,Defender Left-Back,181,21,57,0,0.0414651,0.186592951,0,0,0,0,4341,0,0,2,10000000,12000000,2,1
/ryan-bertrand/profil/spieler/40611,Leicester City,Ryan Bertrand,Defender Left-Back,179,33,12,0,0,0.221674877,0,0,0,0,812,872,129,4,1000000,20000000,2,1
/timothy-castagne/profil/spieler/262226,Leicester City,Timothy Castagne,Defender Right-Back,185,27,78,0.042472865,0.056630486,0.070788108,0,0,0,0,6357,235,30,1,28000000,28000000,2,1
/james-justin/profil/spieler/413220,Leicester City,James Justin,Defender Right-Back,183,25,35,0.032350827,0.032350827,0,0,0,0,0,2782,535,79,2,25000000,25000000,2,1
/ricardo-pereira/profil/spieler/215876,Leicester City,Ricardo Pereira,Defender Right-Back,175,29,35,0.129932628,0.173243503,0.259865255,0,0,0,0,2078,587,79,4,12000000,40000000,2,1
/wilfred-ndidi/profil/spieler/274839,Leicester City,Wilfred Ndidi,midfield-DefensiveMidfield,183,26,61,0.040540541,0.02027027,0.222972973,0.02027027,0,0,0,4440,234,44,2,32000000,60000000,3,0
/boubakary-soumare/profil/spieler/344605,Leicester City,Boubakary Soumaré,midfield-DefensiveMidfield,188,24,59,0,0.02538787,0.279266573,0,0,0,0,3545,0,0,2,20000000,28000000,3,0
/nampalys-mendy/profil/spieler/111051,Leicester City,Nampalys Mendy,midfield-DefensiveMidfield,167,30,42,0.038977913,0.038977913,0.233867475,0,0,0,0,2309,459,62,2,3500000,12000000,3,0
/youri-tielemans/profil/spieler/249565,Leicester City,Youri Tielemans,midfield-CentralMidfield,176,26,87,0.142960289,0.090974729,0.103971119,0,0,0,0,6925,133,27,7,30000000,55000000,3,0
/kiernan-dewsbury-hall/profil/spieler/475188,Leicester City,Kiernan Dewsbury-Hall,midfield-CentralMidfield,178,24,78,0.079491256,0.079491256,0.143084261,0.015898251,0,0,0,5661,4,1,1,25000000,25000000,3,0
/dennis-praet/profil/spieler/129588,Leicester City,Dennis Praet,midfield-CentralMidfield,181,29,51,0.107142857,0.107142857,0.142857143,0,0,0,0,2520,383,74,9,8000000,25000000,3,0
/james-maddison/profil/spieler/294057,Leicester City,James Maddison,midfield-AttackingMidfield,175,26,85,0.406255038,0.304691278,0.275673061,0,0,0,0,6203,246,30,2,55000000,60000000,3,0
/harvey-barnes/profil/spieler/398065,Leicester City,Harvey Barnes,Attack-LeftWinger,182,25,88,0.334987593,0.237282878,0.069789082,0,0,0,0,6448,122,16,2,32000000,35000000,4,1
/tete/profil/spieler/371256,Leicester City,Tetê,Attack-RightWinger,175,23,72,0.381016043,0.240641711,0.160427807,0,0,0,0,4488,0,0,4,25000000,28000000,4,1
/patson-daka/profil/spieler/365172,Leicester City,Patson Daka,Attack Centre-Forward,183,24,74,0.39717564,0.211827008,0.105913504,0,0,0,0,3399,58,13,13,20000000,22000000,4,0
/kelechi-iheanacho/profil/spieler/295330,Leicester City,Kelechi Iheanacho,Attack Centre-Forward,185,26,78,0.394845078,0.345489443,0.09871127,0,0,0,0,3647,17,3,4,17000000,20000000,4,0
/jamie-vardy/profil/spieler/197838,Leicester City,Jamie Vardy,Attack Centre-Forward,179,36,75,0.465901418,0.141796084,0.081026334,0,0,0,0,4443,198,37,8,4000000,20000000,4,0
/emiliano-martinez/profil/spieler/111873,Aston Villa,Emiliano Martínez,Goalkeeper,195,30,74,0,0,0.150914634,0,0,1.207317073,0.329268293,6560,9,1,8,28000000,35000000,1,0
/robin-olsen/profil/spieler/75458,Aston Villa,Robin Olsen,Goalkeeper,196,33,18,0,0,0,0,0,1.988304094,0.116959064,1539,84,14,7,2000000,10000000,1,0
/jed-steer/profil/spieler/110867,Aston Villa,Jed Steer,Goalkeeper,183,30,8,0,0,0,0,0,0.698757764,0.698757764,644,718,84,1,600000,2000000,1,0
/viljami-sinisalo/profil/spieler/484838,Aston Villa,Viljami Sinisalo,Goalkeeper,190,21,17,0,0,0,0,0,1.470588235,0.352941176,1530,42,10,0,400000,400000,1,0
/diego-carlos/profil/spieler/329145,Aston Villa,Diego Carlos,Defender Centre-Back,185,30,48,0.065966284,0,0.131932568,0.021988761,0,0,0,4093,258,36,2,30000000,50000000,2,0
/tyrone-mings/profil/spieler/253677,Aston Villa,Tyrone Mings,Defender Centre-Back,196,30,74,0.027485112,0.068712781,0.24736601,0,0,0,0,6549,635,86,0,25000000,32000000,2,0
/ezri-konsa/profil/spieler/413403,Aston Villa,Ezri Konsa,Defender Centre-Back,183,25,70,0.030176027,0,0.150880134,0.015088013,0.015088013,0,0,5965,85,5,1,22000000,25000000,2,0
/calum-chambers/profil/spieler/215118,Aston Villa,Calum Chambers,Defender Centre-Back,182,28,33,0.099118943,0,0.148678414,0,0,0,0,1816,458,66,2,8000000,18000000,2,0
/alex-moreno/profil/spieler/193098,Aston Villa,Álex Moreno,Defender Left-Back,179,29,83,0.073266037,0.161185282,0.146532074,0,0.014653207,0,0,6142,72,12,2,20000000,20000000,2,1
/lucas-digne/profil/spieler/126664,Aston Villa,Lucas Digne,Defender Left-Back,178,29,62,0.065406977,0.087209302,0.239825581,0,0,0,0,4128,245,36,12,17000000,35000000,2,1
/matty-cash/profil/spieler/425334,Aston Villa,Matty Cash,Defender Right-Back,185,25,68,0.066018705,0.082523382,0.198056116,0,0,0,0,5453,120,19,1,22000000,25000000,2,1
/ashley-young/profil/spieler/14086,Aston Villa,Ashley Young,Defender Right-Back,175,37,57,0.025366404,0.050732807,0.27903044,0,0,0,0,3548,510,73,8,1000000,27000000,2,1
/boubacar-kamara/profil/spieler/394327,Aston Villa,Boubacar Kamara,midfield-DefensiveMidfield,184,23,74,0.015695849,0.031391699,0.21974189,0,0,0,0,5734,188,33,0,25000000,37000000,3,0
/leander-dendoncker/profil/spieler/168157,Aston Villa,Leander Dendoncker,midfield-DefensiveMidfield,188,28,60,0.080910998,0.107881331,0.107881331,0,0.026970333,0,0,3337,114,18,6,17000000,32000000,3,0
/douglas-luiz/profil/spieler/447661,Aston Villa,Douglas Luiz,midfield-CentralMidfield,177,25,75,0.13482024,0.13482024,0.224700399,0,0.014980027,0,0,6008,64,7,1,35000000,38000000,3,0
/jacob-ramsey/profil/spieler/503749,Aston Villa,Jacob Ramsey,midfield-CentralMidfield,180,22,73,0.203351535,0.152513651,0.203351535,0,0,0,0,5311,46,4,0,32000000,32000000,3,0
/john-mcginn/profil/spieler/193116,Aston Villa,John McGinn,midfield-CentralMidfield,178,28,72,0.059396139,0.103943244,0.222735522,0,0,0,0,6061,327,37,3,27000000,32000000,3,0
/leon-bailey/profil/spieler/387626,Aston Villa,Leon Bailey,Attack-LeftWinger,178,25,54,0.187695516,0.187695516,0.250260688,0,0,0,0,2877,153,22,0,25000000,45000000,4,1
/philippe-coutinho/profil/spieler/80444,Aston Villa,Philippe Coutinho,Attack-LeftWinger,172,30,57,0.251572327,0.094339623,0.125786164,0,0,0,0,2862,564,91,15,14000000,150000000,4,1
/emiliano-buendia/profil/spieler/321247,Aston Villa,Emiliano Buendía,Attack-RightWinger,172,26,78,0.177475898,0.177475898,0.019719544,0,0,0,0,4564,176,24,3,28000000,35000000,4,1
/bertrand-traore/profil/spieler/131996,Aston Villa,Bertrand Traoré,Attack-RightWinger,181,27,36,0.302013423,0.060402685,0.181208054,0,0,0,0,1490,254,33,1,14000000,20000000,4,1
/ollie-watkins/profil/spieler/324358,Aston Villa,Ollie Watkins,Attack Centre-Forward,180,27,76,0.382075472,0.113207547,0.155660377,0,0,0,0,6360,0,0,1,32000000,35000000,4,0
/jhon-duran/profil/spieler/649317,Aston Villa,Jhon Durán,Attack Centre-Forward,185,19,12,0,0,0.725806452,0,0,0,0,124,0,0,0,12000000,12000000,4,0
/jose-sa/profil/spieler/249994,Wolverhampton Wanderers,José Sá,Goalkeeper,192,30,76,0,0,0.066225166,0,0,1.284768212,0.304635762,6795,151,5,6,18000000,18000000,1,0
/daniel-bentley/profil/spieler/136401,Wolverhampton Wanderers,Daniel Bentley,Goalkeeper,193,29,55,0,0,0.055248619,0,0,1.510128913,0.184162063,4887,4,1,0,1800000,4000000,1,0
/louie-moulden/profil/spieler/444641,Wolverhampton Wanderers,Louie Moulden,Goalkeeper,190,21,60,0,0,0.049180328,0,0,1.213114754,0.245901639,5490,9,2,1,200000,200000,1,0
/max-kilman/profil/spieler/525247,Wolverhampton Wanderers,Max Kilman,Defender Centre-Back,194,26,75,0.013398839,0,0.093791871,0,0,0,0,6717,39,6,0,25000000,25000000,2,0
/nathan-collins/profil/spieler/469050,Wolverhampton Wanderers,Nathan Collins,Defender Centre-Back,193,22,53,0.042877561,0,0.107193902,0,0.042877561,0,0,4198,66,11,0,22000000,22000000,2,0
/craig-dawson/profil/spieler/121477,Wolverhampton Wanderers,Craig Dawson,Defender Centre-Back,188,33,80,0.081032413,0.027010804,0.18907563,0,0.013505402,0,0,6664,85,15,1,2500000,8000000,2,0
/toti/profil/spieler/606718,Wolverhampton Wanderers,Toti,Defender Centre-Back,187,24,47,0.05132592,0,0.282292558,0.02566296,0,0,0,3507,0,0,0,2500000,2500000,2,0
/rayan-ait-nouri/profil/spieler/578391,Wolverhampton Wanderers,Rayan Aït-Nouri,Defender Left-Back,180,21,54,0.074074074,0.172839506,0.197530864,0,0,0,0,3645,210,28,0,22000000,22000000,2,1
/jonny-otto/profil/spieler/175446,Wolverhampton Wanderers,Jonny Otto,Defender Left-Back,175,29,36,0.103014117,0,0.171690195,0,0.034338039,0,0,2621,617,69,1,17000000,20000000,2,1
/hugo-bueno/profil/spieler/698678,Wolverhampton Wanderers,Hugo Bueno,Defender Left-Back,180,20,46,0.110735158,0.276837896,0.083051369,0,0,0,0,3251,13,0,0,200000,200000,2,1
/nelson-semedo/profil/spieler/231572,Wolverhampton Wanderers,Nélson Semedo,Defender Right-Back,177,29,70,0.016813002,0.050439006,0.218569027,0,0.016813002,0,0,5353,282,38,11,15000000,40000000,2,1
/ruben-neves/profil/spieler/225161,Wolverhampton Wanderers,Rúben Neves,midfield-DefensiveMidfield,180,26,77,0.142090306,0.042627092,0.341016735,0,0,0,0,6334,83,10,2,40000000,50000000,3,0
/mario-lemina/profil/spieler/170934,Wolverhampton Wanderers,Mario Lemina,midfield-DefensiveMidfield,184,29,77,0.054479419,0.036319613,0.163438257,0.036319613,0.018159806,0,0,4956,304,51,5,10000000,15000000,3,0
/boubacar-traore/profil/spieler/649020,Wolverhampton Wanderers,Boubacar Traoré,midfield-DefensiveMidfield,183,21,43,0.072727273,0.072727273,0.327272727,0.036363636,0,0,0,2475,148,24,0,5000000,5000000,3,0
